"EntityName_EN","ViewName","ViewLanguage","TotalRows","ViewError","ColumnName","NonNullCount","IsAllNull","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression"
"Assignments","Assignments","EN","1772",,"ProjectId","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","ProjectUID","src.[ProjectUID]"
"Assignments","Assignments","EN","1772",,"AssignmentId","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentUID","src.[AssignmentUID]"
"Assignments","Assignments","EN","1772",,"AssignmentActualCost","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualCost","src.[AssignmentActualCost]"
"Assignments","Assignments","EN","1772",,"AssignmentActualFinishDate","442","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualFinishDate","src.[AssignmentActualFinishDate]"
"Assignments","Assignments","EN","1772",,"AssignmentActualOvertimeCost","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualOvertimeCost","src.[AssignmentActualOvertimeCost]"
"Assignments","Assignments","EN","1772",,"AssignmentActualOvertimeWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualOvertimeWork","src.[AssignmentActualOvertimeWork]"
"Assignments","Assignments","EN","1772",,"AssignmentActualRegularCost","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualRegularCost","src.[AssignmentActualRegularCost]"
"Assignments","Assignments","EN","1772",,"AssignmentActualRegularWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualRegularWork","src.[AssignmentActualRegularWork]"
"Assignments","Assignments","EN","1772",,"AssignmentActualStartDate","462","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualStartDate","src.[AssignmentActualStartDate]"
"Assignments","Assignments","EN","1772",,"AssignmentActualWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentActualWork","src.[AssignmentActualWork]"
"Assignments","Assignments","EN","1772",,"AssignmentACWP","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentACWP","src.[AssignmentACWP]"
"Assignments","Assignments","EN","1772",,"AssignmentAllUpdatesApplied","0","True","MAPPED","pjrep","MSP_EpmAssignmentsApplied_UserView","AssignmentAllUpdatesApplied","jAssignApplied.[AssignmentAllUpdatesApplied]"
"Assignments","Assignments","EN","1772",,"AssignmentBCWP","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentBCWP","src.[AssignmentBCWP]"
"Assignments","Assignments","EN","1772",,"AssignmentBCWS","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentBCWS","src.[AssignmentBCWS]"
"Assignments","Assignments","EN","1772",,"AssignmentBookingDescription","1772","False","MAPPED","pjrep","MSP_EpmAssignmentBooking","AssignmentBookingDescription","j1.[AssignmentBookingDescription]"
"Assignments","Assignments","EN","1772",,"AssignmentBookingId","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentBookingID","src.[AssignmentBookingID]"
"Assignments","Assignments","EN","1772",,"AssignmentBookingName","1772","False","MAPPED","pjrep","MSP_EpmAssignmentBooking","AssignmentBookingName","j1.[AssignmentBookingName]"
"Assignments","Assignments","EN","1772",,"AssignmentBudgetCost","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentBudgetCost","src.[AssignmentBudgetCost]"
"Assignments","Assignments","EN","1772",,"AssignmentBudgetMaterialWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentBudgetMaterialWork","src.[AssignmentBudgetMaterialWork]"
"Assignments","Assignments","EN","1772",,"AssignmentBudgetWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentBudgetWork","src.[AssignmentBudgetWork]"
"Assignments","Assignments","EN","1772",,"AssignmentCost","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentCost","src.[AssignmentCost]"
"Assignments","Assignments","EN","1772",,"AssignmentCostVariance","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentCostVariance","src.[AssignmentCostVariance]"
"Assignments","Assignments","EN","1772",,"AssignmentCreatedDate","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentCreatedDate","src.[AssignmentCreatedDate]"
"Assignments","Assignments","EN","1772",,"AssignmentCreatedRevisionCounter","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentCreatedRevisionCounter","src.[AssignmentCreatedRevisionCounter]"
"Assignments","Assignments","EN","1772",,"AssignmentCV","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentCV","src.[AssignmentCV]"
"Assignments","Assignments","EN","1772",,"AssignmentDelay","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentDelay","src.[AssignmentDelay]"
"Assignments","Assignments","EN","1772",,"AssignmentFinishDate","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentFinishDate","src.[AssignmentFinishDate]"
"Assignments","Assignments","EN","1772",,"AssignmentFinishVariance","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentFinishVariance","src.[AssignmentFinishVariance]"
"Assignments","Assignments","EN","1772",,"AssignmentIsOverallocated","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentIsOverallocated","src.[AssignmentIsOverallocated]"
"Assignments","Assignments","EN","1772",,"AssignmentIsPublished","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentIsPublished","src.[AssignmentIsPublished]"
"Assignments","Assignments","EN","1772",,"AssignmentMaterialActualWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentMaterialActualWork","src.[AssignmentMaterialActualWork]"
"Assignments","Assignments","EN","1772",,"AssignmentMaterialWork","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentMaterialWork","src.[AssignmentMaterialWork]"
"Assignments","Assignments","EN","1772",,"AssignmentModifiedDate","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentModifiedDate","src.[AssignmentModifiedDate]"
