"ViewName","ViewLanguage","ColumnName","TotalRows","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression"
"AnalysesPortefeuille","FR","DateCréation","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","CreatedDate","src.[CreatedDate]"
"AnalysesPortefeuille","FR","DateDébutHorizonPlanification","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","PlanningHorizonStartDate","src.[PlanningHorizonStartDate]"
"AnalysesPortefeuille","FR","DateFinHorizonPlanification","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","PlanningHorizonEndDate","src.[PlanningHorizonEndDate]"
"AnalysesPortefeuille","FR","DateModification","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","ModifiedDate","src.[ModifiedDate]"
"AnalysesPortefeuille","FR","DescriptionAnalyse","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","AnalysisDescription","src.[AnalysisDescription]"
"AnalysesPortefeuille","FR","ÉchelleTemps","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","TimeScale","src.[TimeScale]"
"AnalysesPortefeuille","FR","FiltrerRessourcesParRBS","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","FilterResourcesByRBS","src.[FilterResourcesByRBS]"
"AnalysesPortefeuille","FR","FiltrerRessourcesParService","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","FilterResourcesByDepartment","src.[FilterResourcesByDepartment]"
"AnalysesPortefeuille","FR","IdAnalyse","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","AnalysisUID","src.[AnalysisUID]"
"AnalysesPortefeuille","FR","IdChampPersonnaliséAutreDateDébutProjet","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","AlternateProjectStartDateCustomFieldUID","src.[AlternateProjectStartDateCustomFieldUID]"
"AnalysesPortefeuille","FR","IdChampPersonnaliséAutreDateFinProjet","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","AlternateProjectEndDateCustomFieldUID","src.[AlternateProjectEndDateCustomFieldUID]"
"AnalysesPortefeuille","FR","IdChampPersonnaliséContrainteImpérative","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","HardConstraintCustomFieldUID","src.[HardConstraintCustomFieldUID]"
"AnalysesPortefeuille","FR","IdChampPersonnaliséRôle","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","RoleCustomFieldUID","src.[RoleCustomFieldUID]"
"AnalysesPortefeuille","FR","IdDéfinitionPriorités","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","PrioritizationUID","src.[PrioritizationUID]"
"AnalysesPortefeuille","FR","IdRessourceCréation","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","CreatedByResourceUID","src.[CreatedByResourceUID]"
"AnalysesPortefeuille","FR","IdRessourceModification","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","ModifiedByResourceUID","src.[ModifiedByResourceUID]"
"AnalysesPortefeuille","FR","IdService","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","DepartmentUID","src.[DepartmentUID]"
"AnalysesPortefeuille","FR","IdTableChoixAliasExcluDeForce","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","ForcedOutAliasLookupTableUID","src.[ForcedOutAliasLookupTableUID]"
"AnalysesPortefeuille","FR","IdTableChoixAliasInclusDeForce","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","ForcedInAliasLookupTableUID","src.[ForcedInAliasLookupTableUID]"
