"EntityName_EN","Column_EN","CandidateRows","DistinctCandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"AssignmentBaselines","ProjectId","53","53","5","48","0"
"AssignmentBaselineTimephasedDataSet","ProjectId","53","53","5","48","0"
"Assignments","ProjectId","53","53","5","48","0"
"AssignmentTimephasedDataSet","ProjectId","53","53","5","48","0"
"CostScenarioProjects","ProjectId","53","53","5","48","0"
"Deliverables","ProjectId","53","53","5","48","0"
"Engagements","ProjectId","53","53","5","48","0"
"EngagementsTimephasedDataSet","ProjectId","53","53","5","48","0"
"Issues","ProjectId","53","53","5","48","0"
"IssueTaskAssociations","ProjectId","53","53","5","48","0"
"PortfolioAnalysisProjects","ProjectId","53","53","5","48","0"
"ProjectBaselines","ProjectId","53","53","5","48","0"
"Projects","ProjectId","53","53","5","48","0"
"ProjectWorkflowStageDataSet","ProjectId","53","53","5","48","0"
"ResourceDemandTimephasedDataSet","ProjectId","53","53","5","48","0"
"ResourceScenarioProjects","ProjectId","53","53","5","48","0"
"Risks","ProjectId","53","53","5","48","0"
"RiskTaskAssociations","ProjectId","53","53","5","48","0"
"TaskBaselines","ProjectId","53","53","5","48","0"
"TaskBaselineTimephasedDataSet","ProjectId","53","53","5","48","0"
"Tasks","ProjectId","53","53","5","48","0"
"TaskTimephasedDataSet","ProjectId","53","53","5","48","0"
"TimesheetLines","ProjectId","53","53","5","48","0"
"CostConstraintScenarios","CreatedDate","34","34","34","0","0"
"Deliverables","CreatedDate","34","34","34","0","0"
"FiscalPeriods","CreatedDate","34","34","34","0","0"
"Issues","CreatedDate","34","34","34","0","0"
"PortfolioAnalyses","CreatedDate","34","34","34","0","0"
"ResourceConstraintScenarios","CreatedDate","34","34","34","0","0"
"Risks","CreatedDate","34","34","34","0","0"
"TimesheetLineActualDataSet","CreatedDate","34","34","34","0","0"
"TimesheetLines","CreatedDate","34","34","34","0","0"
"ProjectWorkflowStageDataSet","LCID","32","32","32","0","0"
"TimesheetClasses","LCID","32","32","32","0","0"
"TimesheetLines","LCID","32","32","32","0","0"
"TimesheetPeriods","LCID","32","32","32","0","0"
"CostConstraintScenarios","ModifiedDate","26","26","26","0","0"
"Deliverables","ModifiedDate","26","26","26","0","0"
"Issues","ModifiedDate","26","26","26","0","0"
"PortfolioAnalyses","ModifiedDate","26","26","26","0","0"
"ResourceConstraintScenarios","ModifiedDate","26","26","26","0","0"
"Risks","ModifiedDate","26","26","26","0","0"
"TimesheetLines","ModifiedDate","26","26","26","0","0"
"Timesheets","ModifiedDate","26","26","26","0","0"
"CostScenarioProjects","Status","22","22","22","0","0"
"Issues","Status","22","22","22","0","0"
"ResourceScenarioProjects","Status","22","22","22","0","0"
"Risks","Status","22","22","22","0","0"
"AssignmentBaselines","TaskId","21","21","2","19","0"
"AssignmentBaselineTimephasedDataSet","TaskId","21","21","2","19","0"
"Assignments","TaskId","21","21","2","19","0"
"AssignmentTimephasedDataSet","TaskId","21","21","2","19","0"
"IssueTaskAssociations","TaskId","21","21","2","19","0"
"ProjectBaselines","TaskId","21","21","2","19","0"
"RiskTaskAssociations","TaskId","21","21","2","19","0"
"TaskBaselines","TaskId","21","21","2","19","0"
"TaskBaselineTimephasedDataSet","TaskId","21","21","2","19","0"
"Tasks","TaskId","21","21","2","19","0"
"TaskTimephasedDataSet","TaskId","21","21","2","19","0"
"TimesheetLines","TaskId","21","21","2","19","0"
"Deliverables","Description","18","18","18","0","0"
