"ViewName","ViewLanguage","ColumnName","TotalRows","NonNullCount","EntityName_EN","Column_EN","Column_FR","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression","FallbackExpression"
"AssignmentBaselineTimephasedDataSet","EN","Assignment","418035","0","AssignmentBaselineTimephasedDataSet","Assignment","Affectation","NAVIGATION","","","","",""
"AssignmentBaselineTimephasedDataSet","EN","Baseline","418035","0","AssignmentBaselineTimephasedDataSet","Baseline","DébutRéférenceFinRéférence","NAVIGATION","","","","",""
"AssignmentBaselineTimephasedDataSet","EN","Project","418035","0","AssignmentBaselineTimephasedDataSet","Project","Projet","NAVIGATION","","","","",""
"AssignmentBaselineTimephasedDataSet","EN","ResourceId","418035","0","AssignmentBaselineTimephasedDataSet","ResourceId","IdRessource","MAPPED","pjrep","MSP_TimesheetLine_UserView","ResourceUID","j2.[ResourceUID]",""
"AssignmentBaselineTimephasedDataSet","EN","Tasks","418035","0","AssignmentBaselineTimephasedDataSet","Tasks","Tâches","NAVIGATION","","","","",""
"AssignmentBaselineTimephasedDataSet","EN","Time","418035","0","AssignmentBaselineTimephasedDataSet","Time","Heure","NAVIGATION","","","","",""
"JeuDonnéesChronologiquesRéférenceAffectation","FR","Affectation","418035","0","AssignmentBaselineTimephasedDataSet","Assignment","Affectation","NAVIGATION","","","","",""
"JeuDonnéesChronologiquesRéférenceAffectation","FR","DébutRéférenceFinRéférence","418035","0","AssignmentBaselineTimephasedDataSet","Baseline","DébutRéférenceFinRéférence","NAVIGATION","","","","",""
"JeuDonnéesChronologiquesRéférenceAffectation","FR","Heure","418035","0","AssignmentBaselineTimephasedDataSet","Time","Heure","NAVIGATION","","","","",""
"JeuDonnéesChronologiquesRéférenceAffectation","FR","IdRessource","418035","0","AssignmentBaselineTimephasedDataSet","ResourceId","IdRessource","MAPPED","pjrep","MSP_TimesheetLine_UserView","ResourceUID","j2.[ResourceUID]",""
"JeuDonnéesChronologiquesRéférenceAffectation","FR","Projet","418035","0","AssignmentBaselineTimephasedDataSet","Project","Projet","NAVIGATION","","","","",""
"JeuDonnéesChronologiquesRéférenceAffectation","FR","Tâches","418035","0","AssignmentBaselineTimephasedDataSet","Tasks","Tâches","NAVIGATION","","","","",""
