"EntityName_EN","Column_EN","CandidateRows","DistinctCandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"AssignmentBaselines","ProjectId","53","53","5","48","0"
"AssignmentBaselines","TaskId","21","21","2","19","0"
"AssignmentBaselines","ProjectName","14","14","14","0","0"
"AssignmentBaselines","AssignmentId","9","9","0","9","0"
"AssignmentBaselines","TaskName","7","7","7","0","0"
"AssignmentBaselines","BaselineNumber","6","6","6","0","0"
"AssignmentBaselines","AssignmentType","4","4","4","0","0"
"AssignmentBaselines","AssignmentBaselineBudgetCost","2","2","2","0","0"
"AssignmentBaselines","AssignmentBaselineBudgetMaterialWork","2","2","2","0","0"
"AssignmentBaselines","AssignmentBaselineBudgetWork","2","2","2","0","0"
"AssignmentBaselines","AssignmentBaselineCost","2","2","2","0","0"
"AssignmentBaselines","AssignmentBaselineMaterialWork","2","2","2","0","0"
"AssignmentBaselines","AssignmentBaselineModifiedDate","2","2","2","0","0"
"AssignmentBaselines","AssignmentBaselineWork","2","2","2","0","0"
