"EntityName_EN","Column_EN","CandidateRows","DistinctCandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"AssignmentTimephasedDataSet","ProjectId","53","53","5","48","0"
"AssignmentTimephasedDataSet","TaskId","21","21","2","19","0"
"AssignmentTimephasedDataSet","ProjectName","14","14","14","0","0"
"AssignmentTimephasedDataSet","ResourceId","14","14","0","14","0"
"AssignmentTimephasedDataSet","TimeByDay","13","13","13","0","0"
"AssignmentTimephasedDataSet","AssignmentId","9","9","0","9","0"
"AssignmentTimephasedDataSet","TaskIsActive","8","8","8","0","0"
"AssignmentTimephasedDataSet","TaskName","7","7","7","0","0"
"AssignmentTimephasedDataSet","FiscalPeriodId","6","6","0","6","0"
"AssignmentTimephasedDataSet","AssignmentActualCost","4","4","4","0","0"
"AssignmentTimephasedDataSet","AssignmentActualOvertimeCost","4","4","4","0","0"
"AssignmentTimephasedDataSet","AssignmentActualOvertimeWork","4","4","4","0","0"
"AssignmentTimephasedDataSet","AssignmentActualWork","4","4","4","0","0"
"AssignmentTimephasedDataSet","AssignmentBudgetCost","4","4","4","0","0"
"AssignmentTimephasedDataSet","AssignmentBudgetMaterialWork","4","4","4","0","0"
"AssignmentTimephasedDataSet","AssignmentBudgetWork","4","4","4","0","0"
"AssignmentTimephasedDataSet","AssignmentCost","4","4","4","0","0"
"AssignmentTimephasedDataSet","AssignmentMaterialActualWork","4","4","4","0","0"
"AssignmentTimephasedDataSet","AssignmentMaterialWork","4","4","4","0","0"
"AssignmentTimephasedDataSet","AssignmentOvertimeCost","4","4","4","0","0"
"AssignmentTimephasedDataSet","AssignmentOvertimeWork","4","4","4","0","0"
"AssignmentTimephasedDataSet","AssignmentResourcePlanWork","4","4","4","0","0"
"AssignmentTimephasedDataSet","AssignmentWork","4","4","4","0","0"
"AssignmentTimephasedDataSet","AssignmentModifiedDate","3","3","3","0","0"
"AssignmentTimephasedDataSet","AssignmentActualRegularCost","2","2","2","0","0"
"AssignmentTimephasedDataSet","AssignmentActualRegularWork","2","2","2","0","0"
"AssignmentTimephasedDataSet","AssignmentRegularCost","2","2","2","0","0"
"AssignmentTimephasedDataSet","AssignmentRegularWork","2","2","2","0","0"
"AssignmentTimephasedDataSet","AssignmentRemainingCost","2","2","2","0","0"
"AssignmentTimephasedDataSet","AssignmentRemainingOvertimeCost","2","2","2","0","0"
"AssignmentTimephasedDataSet","AssignmentRemainingOvertimeWork","2","2","2","0","0"
"AssignmentTimephasedDataSet","AssignmentRemainingRegularCost","2","2","2","0","0"
"AssignmentTimephasedDataSet","AssignmentRemainingRegularWork","2","2","2","0","0"
"AssignmentTimephasedDataSet","AssignmentRemainingWork","2","2","2","0","0"
