"EntityName_EN","Column_EN","CandidateRows","DistinctCandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"Assignments","ProjectId","53","53","5","48","0"
"Assignments","TaskId","21","21","2","19","0"
"Assignments","ProjectName","14","14","14","0","0"
"Assignments","ResourceId","14","14","0","14","0"
"Assignments","AssignmentId","9","9","0","9","0"
"Assignments","TaskIsActive","8","8","8","0","0"
"Assignments","TaskName","7","7","7","0","0"
"Assignments","ResourceName","6","6","6","0","0"
"Assignments","AssignmentActualCost","4","4","4","0","0"
"Assignments","AssignmentActualOvertimeCost","4","4","4","0","0"
"Assignments","AssignmentActualOvertimeWork","4","4","4","0","0"
"Assignments","AssignmentActualWork","4","4","4","0","0"
"Assignments","AssignmentBudgetCost","4","4","4","0","0"
"Assignments","AssignmentBudgetMaterialWork","4","4","4","0","0"
"Assignments","AssignmentBudgetWork","4","4","4","0","0"
"Assignments","AssignmentCost","4","4","4","0","0"
"Assignments","AssignmentMaterialActualWork","4","4","4","0","0"
"Assignments","AssignmentMaterialWork","4","4","4","0","0"
"Assignments","AssignmentOvertimeCost","4","4","4","0","0"
"Assignments","AssignmentOvertimeWork","4","4","4","0","0"
"Assignments","AssignmentResourcePlanWork","4","4","4","0","0"
"Assignments","AssignmentType","4","4","4","0","0"
"Assignments","AssignmentWork","4","4","4","0","0"
"Assignments","AssignmentBookingId","3","3","3","0","0"
"Assignments","AssignmentModifiedDate","3","3","3","0","0"
"Assignments","TimesheetClassId","3","3","0","3","0"
"Assignments","AssignmentActualFinishDate","2","2","2","0","0"
"Assignments","AssignmentActualRegularCost","2","2","2","0","0"
"Assignments","AssignmentActualRegularWork","2","2","2","0","0"
"Assignments","AssignmentActualStartDate","2","2","2","0","0"
"Assignments","AssignmentACWP","2","2","2","0","0"
"Assignments","AssignmentBCWP","2","2","2","0","0"
"Assignments","AssignmentBCWS","2","2","2","0","0"
"Assignments","AssignmentCostVariance","2","2","2","0","0"
"Assignments","AssignmentCreatedDate","2","2","2","0","0"
"Assignments","AssignmentCreatedRevisionCounter","2","2","2","0","0"
"Assignments","AssignmentCV","2","2","2","0","0"
"Assignments","AssignmentDelay","2","2","2","0","0"
"Assignments","AssignmentFinishDate","2","2","2","0","0"
"Assignments","AssignmentFinishVariance","2","2","2","0","0"
"Assignments","AssignmentIsOverallocated","2","2","2","0","0"
"Assignments","AssignmentIsPublished","2","2","2","0","0"
"Assignments","AssignmentModifiedRevisionCounter","2","2","2","0","0"
"Assignments","AssignmentPeakUnits","2","2","2","0","0"
"Assignments","AssignmentPercentWorkCompleted","2","2","2","0","0"
"Assignments","AssignmentRegularCost","2","2","2","0","0"
"Assignments","AssignmentRegularWork","2","2","2","0","0"
"Assignments","AssignmentRemainingCost","2","2","2","0","0"
"Assignments","AssignmentRemainingOvertimeCost","2","2","2","0","0"
"Assignments","AssignmentRemainingOvertimeWork","2","2","2","0","0"
"Assignments","AssignmentRemainingRegularCost","2","2","2","0","0"
"Assignments","AssignmentRemainingRegularWork","2","2","2","0","0"
"Assignments","AssignmentRemainingWork","2","2","2","0","0"
"Assignments","AssignmentResourceType","2","2","2","0","0"
"Assignments","AssignmentStartDate","2","2","2","0","0"
"Assignments","AssignmentStartVariance","2","2","2","0","0"
"Assignments","AssignmentSV","2","2","2","0","0"
"Assignments","AssignmentVAC","2","2","2","0","0"
"Assignments","AssignmentWorkVariance","2","2","2","0","0"
"Assignments","IsPublic","2","2","2","0","0"
"Assignments","TypeDescription","2","2","2","0","0"
"Assignments","TypeName","2","2","2","0","0"
