"EntityName_EN","Column_EN","CandidateRows","DistinctCandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"CostConstraintScenarios","CreatedDate","34","34","34","0","0"
"CostConstraintScenarios","ModifiedDate","26","26","26","0","0"
"CostConstraintScenarios","AnalysisId","6","6","0","6","0"
"CostConstraintScenarios","AnalysisName","6","6","6","0","0"
"CostConstraintScenarios","ModifiedByResourceId","6","6","0","6","0"
"CostConstraintScenarios","ModifiedByResourceName","6","6","6","0","0"
"CostConstraintScenarios","CreatedByResourceId","5","5","0","5","0"
"CostConstraintScenarios","CreatedByResourceName","5","5","5","0","0"
"CostConstraintScenarios","ScenarioId","4","4","0","4","0"
"CostConstraintScenarios","ScenarioName","4","4","4","0","0"
"CostConstraintScenarios","ScenarioDescription","2","2","2","0","0"
