"EntityName_EN","Column_EN","CandidateRows","DistinctCandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"CostScenarioProjects","ProjectId","53","53","5","48","0"
"CostScenarioProjects","Status","22","22","22","0","0"
"CostScenarioProjects","ProjectName","14","14","14","0","0"
"CostScenarioProjects","Priority","10","10","10","0","0"
"CostScenarioProjects","AnalysisId","6","6","0","6","0"
"CostScenarioProjects","AnalysisName","6","6","6","0","0"
"CostScenarioProjects","ScenarioId","4","4","0","4","0"
"CostScenarioProjects","ScenarioName","4","4","4","0","0"
"CostScenarioProjects","AbsolutePriority","3","3","3","0","0"
"CostScenarioProjects","ForceAliasLookupTableId","2","2","0","2","0"
"CostScenarioProjects","ForceAliasLookupTableName","2","2","2","0","0"
"CostScenarioProjects","ForceStatus","2","2","2","0","0"
"CostScenarioProjects","HardConstraintValue","2","2","2","0","0"
