"EntityName_EN","Column_EN","CandidateRows","DistinctCandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"Deliverables","ProjectId","53","53","5","48","0"
"Deliverables","CreatedDate","34","34","34","0","0"
"Deliverables","ModifiedDate","26","26","26","0","0"
"Deliverables","Description","18","18","18","0","0"
"Deliverables","Title","17","17","17","0","0"
"Deliverables","CreateByResource","15","15","15","0","0"
"Deliverables","IsFolder","15","15","15","0","0"
"Deliverables","ItemRelativeUrlPath","15","15","15","0","0"
"Deliverables","ModifiedByResource","15","15","15","0","0"
"Deliverables","ProjectName","14","14","14","0","0"
"Deliverables","StartDate","5","5","5","0","0"
"Deliverables","DeliverableId","3","3","3","0","0"
"Deliverables","FinishDate","3","3","3","0","0"
