"EntityName_EN","Column_EN","CandidateRows","DistinctCandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"Engagements","ProjectId","53","53","5","48","0"
"Engagements","ProjectName","14","14","14","0","0"
"Engagements","ResourceId","14","14","0","14","0"
"Engagements","ModifiedByResourceId","6","6","0","6","0"
"Engagements","ModifiedByResourceName","6","6","6","0","0"
"Engagements","ResourceName","6","6","6","0","0"
"Engagements","CommittedWork","5","5","5","0","0"
"Engagements","ProposedWork","5","5","5","0","0"
"Engagements","EngagementId","3","3","0","3","0"
"Engagements","EngagementName","3","3","3","0","0"
