"EntityName_EN","Column_EN","CandidateRows","DistinctCandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"Issues","ProjectId","53","53","5","48","0"
"Issues","CreatedDate","34","34","34","0","0"
"Issues","ModifiedDate","26","26","26","0","0"
"Issues","Status","22","22","22","0","0"
"Issues","Title","17","17","17","0","0"
"Issues","CreateByResource","15","15","15","0","0"
"Issues","IsFolder","15","15","15","0","0"
"Issues","ItemRelativeUrlPath","15","15","15","0","0"
"Issues","ModifiedByResource","15","15","15","0","0"
"Issues","ProjectName","14","14","14","0","0"
"Issues","Priority","10","10","10","0","0"
"Issues","AssignedToResource","8","8","8","0","0"
"Issues","Category","8","8","8","0","0"
"Issues","DueDate","8","8","8","0","0"
"Issues","NumberOfAttachments","8","8","8","0","0"
"Issues","Owner","8","8","8","0","0"
"Issues","IssueId","5","5","5","0","0"
"Issues","Discussion","4","4","4","0","0"
"Issues","Resolution","4","4","4","0","0"
