"EntityName_EN","Column_EN","CandidateRows","DistinctCandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"PortfolioAnalyses","CreatedDate","34","34","34","0","0"
"PortfolioAnalyses","ModifiedDate","26","26","26","0","0"
"PortfolioAnalyses","AnalysisId","6","6","0","6","0"
"PortfolioAnalyses","AnalysisName","6","6","6","0","0"
"PortfolioAnalyses","ModifiedByResourceId","6","6","0","6","0"
"PortfolioAnalyses","ModifiedByResourceName","6","6","6","0","0"
"PortfolioAnalyses","CreatedByResourceId","5","5","0","5","0"
"PortfolioAnalyses","CreatedByResourceName","5","5","5","0","0"
"PortfolioAnalyses","DepartmentId","4","4","0","4","0"
"PortfolioAnalyses","DepartmentName","4","4","4","0","0"
"PortfolioAnalyses","PrioritizationId","4","4","0","4","0"
"PortfolioAnalyses","PrioritizationName","4","4","4","0","0"
