"EntityName_EN","Column_EN","CandidateRows","DistinctCandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"ProjectWorkflowStageDataSet","ProjectId","53","53","5","48","0"
"ProjectWorkflowStageDataSet","LCID","32","32","32","0","0"
"ProjectWorkflowStageDataSet","ProjectName","14","14","14","0","0"
"ProjectWorkflowStageDataSet","StageId","3","3","1","2","0"
"ProjectWorkflowStageDataSet","LastModifiedDate","2","2","2","0","0"
"ProjectWorkflowStageDataSet","PhaseDescription","2","2","2","0","0"
"ProjectWorkflowStageDataSet","PhaseName","2","2","2","0","0"
"ProjectWorkflowStageDataSet","StageCompletionDate","2","2","2","0","0"
"ProjectWorkflowStageDataSet","StageDescription","2","2","2","0","0"
"ProjectWorkflowStageDataSet","StageEntryDate","2","2","2","0","0"
"ProjectWorkflowStageDataSet","StageInformation","2","2","2","0","0"
"ProjectWorkflowStageDataSet","StageName","2","2","2","0","0"
"ProjectWorkflowStageDataSet","StageOrder","2","2","2","0","0"
"ProjectWorkflowStageDataSet","StageStateDescription","2","2","2","0","0"
"ProjectWorkflowStageDataSet","StageStatus","2","2","2","0","0"
