"ViewName","ViewLanguage","ColumnName","TotalRows","NonNullCount","EntityName_EN","Column_EN","Column_FR","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression","FallbackExpression"
"Projects","EN","AssignmentBaselines","239","0","Projects","AssignmentBaselines","PlanningsRéférenceAffectation","NAVIGATION","","","","",""
"Projects","EN","Assignments","239","0","Projects","Assignments","Affectations","NAVIGATION","","","","",""
"Projects","EN","Deliverables","239","0","Projects","Deliverables","Livrables","NAVIGATION","","","","",""
"Projects","EN","Dependencies","239","0","Projects","Dependencies","Interdépendances","NAVIGATION","","","","",""
"Projects","EN","Descriptionproj","239","0","Projects","Descriptionproj","Descriptionproj","MAPPED","pjrep","MSP_EpmProject_UserView","Description proj","src.[Description proj]",""
"Projects","EN","Étatdelaproposition","239","0","Projects","Étatdelaproposition","Étatdelaproposition","MAPPED","pjrep","MSP_EpmProject_UserView","État de la proposition","src.[État de la proposition]",""
"Projects","EN","Issues","239","0","Projects","Issues","Problèmes","NAVIGATION","","","","",""
"Projects","EN","OptimizerCommitDate","239","0","Projects","OptimizerCommitDate","DateValidationOptimiseur","MAPPED","pjrep","MSP_EpmProjectDecision_UserView","OptimizerCommitDate","j1.[OptimizerCommitDate]",""
"Projects","EN","OptimizerDecisionAliasLookupTableId","239","0","Projects","OptimizerDecisionAliasLookupTableId","IdTableChoixAliasDécisionOptimiseur","MAPPED","pjrep","MSP_EpmProjectDecision_UserView","OptimizerDecisionAliasLookupTableUID","j1.[OptimizerDecisionAliasLookupTableUID]",""
"Projects","EN","OptimizerDecisionAliasLookupTableValueId","239","0","Projects","OptimizerDecisionAliasLookupTableValueId","IdValeurTableChoixAliasDécisionOptimiseur","MAPPED","pjrep","MSP_EpmProjectDecision_UserView","OptimizerDecisionAliasMemberUID","j1.[OptimizerDecisionAliasMemberUID]",""
"Projects","EN","OptimizerDecisionID","239","0","Projects","OptimizerDecisionID","IdDécisionOptimiseur","MAPPED","pjrep","MSP_EpmProjectDecision_UserView","OptimizerDecisionID","j1.[OptimizerDecisionID]",""
"Projects","EN","OptimizerDecisionName","239","0","Projects","OptimizerDecisionName","NomDécisionOptimiseur","MAPPED","pjrep","MSP_EpmProjectDecision_UserView","OptimizerDecisionName","j1.[OptimizerDecisionName]",""
"Projects","EN","OptimizerSolutionName","239","0","Projects","OptimizerSolutionName","NomSolutionOptimiseur","MAPPED","pjrep","MSP_EpmProjectDecision_UserView","OptimizerSolutionName","j1.[OptimizerSolutionName]",""
