"EntityName_EN","Column_EN","CandidateRows","DistinctCandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"ResourceScenarioProjects","ProjectId","53","53","5","48","0"
"ResourceScenarioProjects","Status","22","22","22","0","0"
"ResourceScenarioProjects","ProjectName","14","14","14","0","0"
"ResourceScenarioProjects","Priority","10","10","10","0","0"
"ResourceScenarioProjects","AnalysisId","6","6","0","6","0"
"ResourceScenarioProjects","AnalysisName","6","6","6","0","0"
"ResourceScenarioProjects","ScenarioId","4","4","0","4","0"
"ResourceScenarioProjects","ScenarioName","4","4","4","0","0"
"ResourceScenarioProjects","AbsolutePriority","3","3","3","0","0"
"ResourceScenarioProjects","CostConstraintScenarioId","2","2","0","2","0"
"ResourceScenarioProjects","CostConstraintScenarioName","2","2","2","0","0"
"ResourceScenarioProjects","ForceAliasLookupTableId","2","2","0","2","0"
"ResourceScenarioProjects","ForceAliasLookupTableName","2","2","2","0","0"
"ResourceScenarioProjects","ForceStatus","2","2","2","0","0"
"ResourceScenarioProjects","HardConstraintValue","2","2","2","0","0"
