"ViewName","ViewLanguage","ColumnName","TotalRows","NonNullCount","EntityName_EN","Column_EN","Column_FR","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression","FallbackExpression"
"Resources","EN","Assignments","756","0","Resources","Assignments","Affectations","NAVIGATION","","","","",""
"Resources","EN","ResourceCode","756","0","Resources","ResourceCode","CodeRessource","MAPPED","pjrep","MSP_EpmResource_UserView","ResourceCode","src.[ResourceCode]",""
"Resources","EN","ResourceCostCenter","756","0","Resources","ResourceCostCenter","CentreCoûtRessource","MAPPED","pjrep","MSP_EpmResource_UserView","ResourceCostCenter","src.[ResourceCostCenter]",""
"Resources","EN","ResourceDemandTimephasedInfo","756","0","Resources","ResourceDemandTimephasedInfo","ResourceDemandTimephasedInfo","NAVIGATION","","","","",""
"Resources","EN","ResourceEarliestAvailableFrom","756","0","Resources","ResourceEarliestAvailableFrom","RessourceDisponibleAuPlusTôtDu","MAPPED","pjrep","MSP_EpmResource_UserView","ResourceEarliestAvailableFrom","src.[ResourceEarliestAvailableFrom]",""
"Resources","EN","ResourceHyperlinkHref","756","0","Resources","ResourceHyperlinkHref","RéfÉlevéeLienHypertexteRessource","MAPPED","pjrep","MSP_EpmResource_UserView","ResourceHyperlinkHref","src.[ResourceHyperlinkHref]",""
"Resources","EN","ResourceLatestAvailableTo","756","0","Resources","ResourceLatestAvailableTo","RessourceDisponibleAuPlusTardAu","MAPPED","pjrep","MSP_EpmResource_UserView","ResourceLatestAvailableTo","src.[ResourceLatestAvailableTo]",""
"Resources","EN","ResourceWorkgroup","756","0","Resources","ResourceWorkgroup","GroupeTravailRessource","MAPPED","pjrep","MSP_EpmResource_UserView","ResourceWorkgroup","src.[ResourceWorkgroup]",""
"Resources","EN","Servicesderessources","756","0","Resources","Servicesderessources","Servicesderessources","MAPPED","pjrep","MSP_EpmResource_UserView","Services de ressources","src.[Services de ressources]",""
"Resources","EN","TimephasedInfoDataSet","756","0","Resources","TimephasedInfoDataSet","JeuDonnéesInformationsChronologiques","NAVIGATION","","","","",""
"Resources","EN","Typedecoût","756","0","Resources","Typedecoût","Typedecoût","MAPPED","pjrep","MSP_EpmResource_UserView","Type de coût","src.[Type de coût]",""
"Ressources","FR","Affectations","756","0","Resources","Assignments","Affectations","NAVIGATION","","","","",""
"Ressources","FR","CentreCoûtRessource","756","0","Resources","ResourceCostCenter","CentreCoûtRessource","MAPPED","pjrep","MSP_EpmResource_UserView","ResourceCostCenter","src.[ResourceCostCenter]",""
"Ressources","FR","CodeRessource","756","0","Resources","ResourceCode","CodeRessource","MAPPED","pjrep","MSP_EpmResource_UserView","ResourceCode","src.[ResourceCode]",""
"Ressources","FR","GroupeTravailRessource","756","0","Resources","ResourceWorkgroup","GroupeTravailRessource","MAPPED","pjrep","MSP_EpmResource_UserView","ResourceWorkgroup","src.[ResourceWorkgroup]",""
"Ressources","FR","JeuDonnéesInformationsChronologiques","756","0","Resources","TimephasedInfoDataSet","JeuDonnéesInformationsChronologiques","NAVIGATION","","","","",""
"Ressources","FR","RéfÉlevéeLienHypertexteRessource","756","0","Resources","ResourceHyperlinkHref","RéfÉlevéeLienHypertexteRessource","MAPPED","pjrep","MSP_EpmResource_UserView","ResourceHyperlinkHref","src.[ResourceHyperlinkHref]",""
"Ressources","FR","ResourceDemandTimephasedInfo","756","0","Resources","ResourceDemandTimephasedInfo","ResourceDemandTimephasedInfo","NAVIGATION","","","","",""
"Ressources","FR","RessourceDisponibleAuPlusTardAu","756","0","Resources","ResourceLatestAvailableTo","RessourceDisponibleAuPlusTardAu","MAPPED","pjrep","MSP_EpmResource_UserView","ResourceLatestAvailableTo","src.[ResourceLatestAvailableTo]",""
"Ressources","FR","RessourceDisponibleAuPlusTôtDu","756","0","Resources","ResourceEarliestAvailableFrom","RessourceDisponibleAuPlusTôtDu","MAPPED","pjrep","MSP_EpmResource_UserView","ResourceEarliestAvailableFrom","src.[ResourceEarliestAvailableFrom]",""
"Ressources","FR","Servicesderessources","756","0","Resources","Servicesderessources","Servicesderessources","MAPPED","pjrep","MSP_EpmResource_UserView","Services de ressources","src.[Services de ressources]",""
"Ressources","FR","Typedecoût","756","0","Resources","Typedecoût","Typedecoût","MAPPED","pjrep","MSP_EpmResource_UserView","Type de coût","src.[Type de coût]",""
