"EntityName_EN","Column_EN","CandidateRows","DistinctCandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"Resources","ResourceId","14","14","0","14","0"
"Resources","ResourceName","6","6","6","0","0"
"Resources","ResourceIsGeneric","4","4","4","0","0"
"Resources","RBS","3","3","3","0","0"
"Resources","ResourceStatusId","3","3","0","3","0"
"Resources","ResourceType","3","3","3","0","0"
"Resources","ResourceBaseCalendar","2","2","2","0","0"
"Resources","ResourceBookingType","2","2","2","0","0"
"Resources","ResourceCanLevel","2","2","2","0","0"
"Resources","ResourceCode","2","2","2","0","0"
"Resources","ResourceCostCenter","2","2","2","0","0"
"Resources","ResourceCostPerUse","2","2","2","0","0"
"Resources","ResourceCreatedDate","2","2","2","0","0"
"Resources","ResourceEarliestAvailableFrom","2","2","2","0","0"
"Resources","ResourceEmailAddress","2","2","2","0","0"
"Resources","ResourceGroup","2","2","2","0","0"
"Resources","ResourceHyperlink","2","2","2","0","0"
"Resources","ResourceHyperlinkHref","2","2","2","0","0"
"Resources","ResourceInitials","2","2","2","0","0"
"Resources","ResourceIsActive","2","2","2","0","0"
"Resources","ResourceIsTeam","2","2","2","0","0"
"Resources","ResourceLatestAvailableTo","2","2","2","0","0"
"Resources","ResourceMaterialLabel","2","2","2","0","0"
"Resources","ResourceMaxUnits","2","2","2","0","0"
"Resources","ResourceModifiedDate","2","2","2","0","0"
"Resources","ResourceNTAccount","2","2","2","0","0"
"Resources","ResourceOvertimeRate","2","2","2","0","0"
"Resources","ResourceStandardRate","2","2","2","0","0"
"Resources","ResourceWorkgroup","2","2","2","0","0"
"Resources","TypeDescription","2","2","2","0","0"
"Resources","TypeName","2","2","2","0","0"
