"EntityName_EN","Column_EN","CandidateRows","DistinctCandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"TaskBaselineTimephasedDataSet","ProjectId","53","53","5","48","0"
"TaskBaselineTimephasedDataSet","TaskId","21","21","2","19","0"
"TaskBaselineTimephasedDataSet","ProjectName","14","14","14","0","0"
"TaskBaselineTimephasedDataSet","TimeByDay","13","13","13","0","0"
"TaskBaselineTimephasedDataSet","TaskName","7","7","7","0","0"
"TaskBaselineTimephasedDataSet","BaselineNumber","6","6","6","0","0"
"TaskBaselineTimephasedDataSet","FiscalPeriodId","6","6","0","6","0"
"TaskBaselineTimephasedDataSet","TaskBaselineBudgetCost","2","2","2","0","0"
"TaskBaselineTimephasedDataSet","TaskBaselineBudgetWork","2","2","2","0","0"
"TaskBaselineTimephasedDataSet","TaskBaselineCost","2","2","2","0","0"
"TaskBaselineTimephasedDataSet","TaskBaselineFixedCost","2","2","2","0","0"
"TaskBaselineTimephasedDataSet","TaskBaselineModifiedDate","2","2","2","0","0"
"TaskBaselineTimephasedDataSet","TaskBaselineWork","2","2","2","0","0"
