"EntityName_EN","Column_EN","CandidateRows","DistinctCandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"TaskBaselines","ProjectId","53","53","5","48","0"
"TaskBaselines","TaskId","21","21","2","19","0"
"TaskBaselines","ProjectName","14","14","14","0","0"
"TaskBaselines","TaskName","7","7","7","0","0"
"TaskBaselines","BaselineNumber","6","6","6","0","0"
"TaskBaselines","TaskBaselineBudgetCost","2","2","2","0","0"
"TaskBaselines","TaskBaselineBudgetWork","2","2","2","0","0"
"TaskBaselines","TaskBaselineCost","2","2","2","0","0"
"TaskBaselines","TaskBaselineFixedCost","2","2","2","0","0"
"TaskBaselines","TaskBaselineModifiedDate","2","2","2","0","0"
"TaskBaselines","TaskBaselineWork","2","2","2","0","0"
