"EntityName_EN","Column_EN","CandidateRows","DistinctCandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"TaskTimephasedDataSet","ProjectId","53","53","5","48","0"
"TaskTimephasedDataSet","TaskId","21","21","2","19","0"
"TaskTimephasedDataSet","ProjectName","14","14","14","0","0"
"TaskTimephasedDataSet","TimeByDay","13","13","13","0","0"
"TaskTimephasedDataSet","TaskIsActive","8","8","8","0","0"
"TaskTimephasedDataSet","TaskName","7","7","7","0","0"
"TaskTimephasedDataSet","FiscalPeriodId","6","6","0","6","0"
"TaskTimephasedDataSet","TaskActualCost","4","4","4","0","0"
"TaskTimephasedDataSet","TaskActualWork","4","4","4","0","0"
"TaskTimephasedDataSet","TaskBudgetCost","4","4","4","0","0"
"TaskTimephasedDataSet","TaskBudgetWork","4","4","4","0","0"
"TaskTimephasedDataSet","TaskCost","4","4","4","0","0"
"TaskTimephasedDataSet","TaskOvertimeWork","4","4","4","0","0"
"TaskTimephasedDataSet","TaskResourcePlanWork","4","4","4","0","0"
"TaskTimephasedDataSet","TaskWork","4","4","4","0","0"
"TaskTimephasedDataSet","TaskIsProjectSummary","3","3","3","0","0"
"TaskTimephasedDataSet","TaskModifiedDate","3","3","3","0","0"
