"ViewName","ViewLanguage","ColumnName","TotalRows","NonNullCount","EntityName_EN","Column_EN","Column_FR","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression","FallbackExpression"
"Tâches","FR","Affectations","22462","0","Tasks",,,"NAVIGATION","","","","",
"Tâches","FR","ChaîneDateDébutTâche","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","TaskStartDateString","src.[TaskStartDateString]",
"Tâches","FR","ChaîneDateFinTâche","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","TaskFinishDateString","src.[TaskFinishDateString]",
"Tâches","FR","ChaîneDuréeTâche","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","TaskDurationString","src.[TaskDurationString]",
"Tâches","FR","CodelivrableGID","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","Code livrable GID","src.[Code livrable GID]",
"Tâches","FR","DateapprouvéeDGEI","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","Date approuvée DGEI","src.[Date approuvée DGEI]",
"Tâches","FR","DateDébutLivrableTâche","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","TaskDeliverableStartDate","src.[TaskDeliverableStartDate]",
"Tâches","FR","DatedemandéeDGT","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","Date demandée DGT","src.[Date demandée DGT]",
"Tâches","FR","DateFinLivrableTâche","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","TaskDeliverableFinishDate","src.[TaskDeliverableFinishDate]",
"Tâches","FR","Dateoccupation","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","Date occupation","src.[Date occupation]",
"Tâches","FR","DonnéesChronologiquesRéférenceAffectations","22462","0","Tasks",,,"NAVIGATION","","","","",
"Tâches","FR","InfosChronologiques","22462","0","Tasks",,,"NAVIGATION","","","","",
"Tâches","FR","JeuDonnéesChronologiquesPlanningsDeRéférence","22462","0","Tasks",,,"NAVIGATION","","","","",
"Tâches","FR","NodedossierAGI","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","No de dossier AGI","src.[No de dossier AGI]",
"Tâches","FR","PlanningsDeRéférence","22462","0","Tasks",,,"NAVIGATION","","","","",
"Tâches","FR","PlanningsDeRéférenceAffectations","22462","0","Tasks",,,"NAVIGATION","","","","",
"Tâches","FR","Prisedepossessionlégale","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","Prise de possession légale","src.[Prise de possession légale]",
"Tâches","FR","Problèmes","22462","0","Tasks",,,"NAVIGATION","","","","",
"Tâches","FR","Projet","22462","0","Tasks",,,"NAVIGATION","","","","",
"Tâches","FR","Risques","22462","0","Tasks",,,"NAVIGATION","","","","",
"Tâches","FR","Servicespublics","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","Services publics","src.[Services publics]",
"Tâches","FR","SousAdresseLienHypertexteTâche","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","TaskHyperLinkSubAddress","src.[TaskHyperLinkSubAddress]",
"Tâches","FR","Statut","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","Statut","src.[Statut]",
"Tâches","FR","Typeterrain","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","Type terrain","src.[Type terrain]",
"Tasks","EN","Assignments","22462","0","Tasks",,,"NAVIGATION","","","","",
"Tasks","EN","AssignmentsBaselines","22462","0","Tasks",,,"NAVIGATION","","","","",
"Tasks","EN","AssignmentsBaselineTimephasedData","22462","0","Tasks",,,"NAVIGATION","","","","",
"Tasks","EN","Baselines","22462","0","Tasks",,,"NAVIGATION","","","","",
"Tasks","EN","BaselinesTimephasedDataSet","22462","0","Tasks",,,"NAVIGATION","","","","",
"Tasks","EN","CodelivrableGID","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","Code livrable GID","src.[Code livrable GID]",
"Tasks","EN","DateapprouvéeDGEI","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","Date approuvée DGEI","src.[Date approuvée DGEI]",
"Tasks","EN","DatedemandéeDGT","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","Date demandée DGT","src.[Date demandée DGT]",
"Tasks","EN","Dateoccupation","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","Date occupation","src.[Date occupation]",
"Tasks","EN","Issues","22462","0","Tasks",,,"NAVIGATION","","","","",
"Tasks","EN","NodedossierAGI","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","No de dossier AGI","src.[No de dossier AGI]",
"Tasks","EN","Prisedepossessionlégale","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","Prise de possession légale","src.[Prise de possession légale]",
"Tasks","EN","Project","22462","0","Tasks",,,"NAVIGATION","","","","",
"Tasks","EN","Risks","22462","0","Tasks",,,"NAVIGATION","","","","",
"Tasks","EN","Servicespublics","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","Services publics","src.[Services publics]",
"Tasks","EN","Statut","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","Statut","src.[Statut]",
"Tasks","EN","TaskDeliverableFinishDate","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","TaskDeliverableFinishDate","src.[TaskDeliverableFinishDate]",
"Tasks","EN","TaskDeliverableStartDate","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","TaskDeliverableStartDate","src.[TaskDeliverableStartDate]",
"Tasks","EN","TaskDurationString","22462","0","Tasks",,,"MAPPED","pjrep","MSP_EpmTask_UserView","TaskDurationString","src.[TaskDurationString]",
