"EntityName_EN","Column_EN","CandidateRows","DistinctCandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"Tasks","ProjectId","53","53","5","48","0"
"Tasks","TaskId","21","21","2","19","0"
"Tasks","ProjectName","14","14","14","0","0"
"Tasks","TaskIsActive","8","8","8","0","0"
"Tasks","TaskName","7","7","7","0","0"
"Tasks","TaskActualCost","4","4","4","0","0"
"Tasks","TaskActualWork","4","4","4","0","0"
"Tasks","TaskBudgetCost","4","4","4","0","0"
"Tasks","TaskBudgetWork","4","4","4","0","0"
"Tasks","TaskCost","4","4","4","0","0"
"Tasks","TaskOvertimeWork","4","4","4","0","0"
"Tasks","TaskResourcePlanWork","4","4","4","0","0"
"Tasks","TaskWork","4","4","4","0","0"
"Tasks","TaskIsProjectSummary","3","3","3","0","0"
"Tasks","TaskModifiedDate","3","3","3","0","0"
"Tasks","ParentTaskId","2","2","0","2","0"
"Tasks","TaskActualDuration","2","2","2","0","0"
"Tasks","TaskActualFinishDate","2","2","2","0","0"
"Tasks","TaskActualFixedCost","2","2","2","0","0"
"Tasks","TaskActualOvertimeCost","2","2","2","0","0"
"Tasks","TaskActualOvertimeWork","2","2","2","0","0"
"Tasks","TaskActualStartDate","2","2","2","0","0"
"Tasks","TaskACWP","2","2","2","0","0"
"Tasks","TaskBCWP","2","2","2","0","0"
"Tasks","TaskBCWS","2","2","2","0","0"
"Tasks","TaskClientUniqueId","2","2","2","0","0"
"Tasks","TaskCostVariance","2","2","2","0","0"
"Tasks","TaskCPI","2","2","2","0","0"
"Tasks","TaskCreatedDate","2","2","2","0","0"
"Tasks","TaskCreatedRevisionCounter","2","2","2","0","0"
"Tasks","TaskCV","2","2","2","0","0"
"Tasks","TaskDeadline","2","2","2","0","0"
"Tasks","TaskDeliverableFinishDate","2","2","2","0","0"
"Tasks","TaskDeliverableStartDate","2","2","2","0","0"
"Tasks","TaskDuration","2","2","2","0","0"
"Tasks","TaskDurationIsEstimated","2","2","2","0","0"
"Tasks","TaskDurationString","2","2","2","0","0"
"Tasks","TaskDurationVariance","2","2","2","0","0"
"Tasks","TaskEAC","2","2","2","0","0"
"Tasks","TaskEarlyFinish","2","2","2","0","0"
"Tasks","TaskEarlyStart","2","2","2","0","0"
"Tasks","TaskFinishDate","2","2","2","0","0"
"Tasks","TaskFinishDateString","2","2","2","0","0"
"Tasks","TaskFinishVariance","2","2","2","0","0"
"Tasks","TaskFixedCost","2","2","2","0","0"
"Tasks","TaskFixedCostAssignmentId","2","2","0","2","0"
"Tasks","TaskFreeSlack","2","2","2","0","0"
"Tasks","TaskHyperLinkAddress","2","2","2","0","0"
"Tasks","TaskHyperLinkFriendlyName","2","2","2","0","0"
"Tasks","TaskHyperLinkSubAddress","2","2","2","0","0"
"Tasks","TaskIgnoresResourceCalendar","2","2","2","0","0"
"Tasks","TaskIndex","2","2","2","0","0"
"Tasks","TaskIsCritical","2","2","2","0","0"
"Tasks","TaskIsEffortDriven","2","2","2","0","0"
"Tasks","TaskIsExternal","2","2","2","0","0"
"Tasks","TaskIsManuallyScheduled","2","2","2","0","0"
"Tasks","TaskIsMarked","2","2","2","0","0"
"Tasks","TaskIsMilestone","2","2","2","0","0"
"Tasks","TaskIsOverallocated","2","2","2","0","0"
"Tasks","TaskIsRecurring","2","2","2","0","0"
"Tasks","TaskIsSummary","2","2","2","0","0"
"Tasks","TaskLateFinish","2","2","2","0","0"
"Tasks","TaskLateStart","2","2","2","0","0"
"Tasks","TaskLevelingDelay","2","2","2","0","0"
"Tasks","TaskModifiedRevisionCounter","2","2","2","0","0"
"Tasks","TaskOutlineLevel","2","2","2","0","0"
"Tasks","TaskOutlineNumber","2","2","2","0","0"
"Tasks","TaskOvertimeCost","2","2","2","0","0"
"Tasks","TaskPercentCompleted","2","2","2","0","0"
"Tasks","TaskPercentWorkCompleted","2","2","2","0","0"
"Tasks","TaskPhysicalPercentCompleted","2","2","2","0","0"
"Tasks","TaskPriority","2","2","2","0","0"
"Tasks","TaskSPI","2","2","2","0","0"
"Tasks","TaskStartDate","2","2","2","0","0"
"Tasks","TaskStartDateString","2","2","2","0","0"
"Tasks","TaskStartVariance","2","2","2","0","0"
"Tasks","TaskStatusManagerUID","2","2","2","0","0"
"Tasks","TaskSV","2","2","2","0","0"
"Tasks","TaskTCPI","2","2","2","0","0"
"Tasks","TaskTotalSlack","2","2","2","0","0"
"Tasks","TaskVAC","2","2","2","0","0"
"Tasks","TaskWBS","2","2","2","0","0"
"Tasks","TaskWorkVariance","2","2","2","0","0"
