"EntityName_EN","Column_EN","CandidateRows","DistinctCandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"TimesheetLineActualDataSet","CreatedDate","34","34","34","0","0"
"TimesheetLineActualDataSet","TimeByDay","13","13","13","0","0"
"TimesheetLineActualDataSet","ResourceName","6","6","6","0","0"
"TimesheetLineActualDataSet","TimesheetLineId","5","5","0","5","0"
"TimesheetLineActualDataSet","ActualOvertimeWorkBillable","4","4","4","0","0"
"TimesheetLineActualDataSet","ActualOvertimeWorkNonBillable","4","4","4","0","0"
"TimesheetLineActualDataSet","ActualWorkBillable","4","4","4","0","0"
"TimesheetLineActualDataSet","ActualWorkNonBillable","4","4","4","0","0"
"TimesheetLineActualDataSet","PlannedWork","4","4","4","0","0"
"TimesheetLineActualDataSet","Comment","3","3","3","0","0"
