"EntityName_EN","Column_EN","CandidateRows","DistinctCandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"Timesheets","ModifiedDate","26","26","26","0","0"
"Timesheets","Description","18","18","18","0","0"
"Timesheets","StatusDescription","18","18","0","18","0"
"Timesheets","TimesheetOwner","6","6","0","6","0"
"Timesheets","PeriodId","5","5","0","5","0"
"Timesheets","StartDate","5","5","5","0","0"
"Timesheets","PeriodStatusId","4","4","4","0","0"
"Timesheets","TimesheetId","4","4","0","4","0"
"Timesheets","TimesheetStatusId","4","4","4","0","0"
"Timesheets","Comment","3","3","3","0","0"
"Timesheets","PeriodName","3","3","3","0","0"
"Timesheets","TimesheetName","3","3","3","0","0"
