"EntityName_EN","EN_View","FR_View","ViewsSeen","AllNullColumns_NonEmptyViews","MappedAllNullColumns_NonEmptyViews","CandidateFanoutColumns","MaxCandidateRows","TrueDuplicateRows"
"Projects","Projects","Projets","Projects; Projets","74","56","37","53","0"
"Assignments","Assignments","Affectations","Assignments; Affectations","62","52","62","53","0"
"Tasks","Tasks","Tâches","Tasks; Tâches","48","30","83","53","0"
"Resources","Resources","Ressources","Resources; Ressources","22","16","31","14","0"
"ProjectBaselines","ProjectBaselines","PlanningsDeRéférenceProjet","PlanningsDeRéférenceProjet; ProjectBaselines","8","6","4","53","0"
"TaskBaselines","TaskBaselines","PlanningsDeRéférenceTâche","PlanningsDeRéférenceTâche; TaskBaselines","12","6","11","53","0"
"AssignmentBaselineTimephasedDataSet","AssignmentBaselineTimephasedDataSet","JeuDonnéesChronologiquesRéférenceAffectation","AssignmentBaselineTimephasedDataSet; JeuDonnéesChronologiquesRéférenceAffectation","12","2","16","53","0"
"TimesheetClasses","TimesheetClasses","ClassesFeuilleDeTemps","ClassesFeuilleDeTemps; TimesheetClasses","2","2","5","32","0"
"AssignmentBaselines","AssignmentBaselines","PlanningsRéférenceAffectation","AssignmentBaselines; PlanningsRéférenceAffectation","8","0","14","53","0"
"AssignmentTimephasedDataSet","AssignmentTimephasedDataSet","JeuDonnéesChronologiquesAffectation","AssignmentTimephasedDataSet; JeuDonnéesChronologiquesAffectation","8","0","34","53","0"
"CostScenarioProjects","CostScenarioProjects","ProjetsScénarioCoût","CostScenarioProjects; ProjetsScénarioCoût","0","0","13","53","0"
"Deliverables","Deliverables","Livrables","Deliverables; Livrables","0","0","13","53","0"
"Engagements","Engagements","","Engagements","0","0","10","53","0"
"EngagementsTimephasedDataSet","EngagementsTimephasedDataSet","JeuDonnéesChronologiquesEngagements","EngagementsTimephasedDataSet; JeuDonnéesChronologiquesEngagements","0","0","9","53","0"
"Issues","Issues","Problèmes","Issues; Problèmes","0","0","19","53","0"
"IssueTaskAssociations","IssueTaskAssociations","AssociationsTâcheProblème","AssociationsTâcheProblème; IssueTaskAssociations","0","0","9","53","0"
"PortfolioAnalysisProjects","PortfolioAnalysisProjects","ProjetsAnalysePortefeuille","PortfolioAnalysisProjects; ProjetsAnalysePortefeuille","0","0","9","53","0"
"ProjectWorkflowStageDataSet","ProjectWorkflowStageDataSet","JeuDonnéesÉtapeFluxDeTravailProjet","JeuDonnéesÉtapeFluxDeTravailProjet; ProjectWorkflowStageDataSet","0","0","15","53","0"
"ResourceDemandTimephasedDataSet","ResourceDemandTimephasedDataSet","","ResourceDemandTimephasedDataSet","4",,"8","53","0"
"ResourceScenarioProjects","ResourceScenarioProjects","ProjetsScénarioRessource","ProjetsScénarioRessource; ResourceScenarioProjects","0","0","15","53","0"
"Risks","Risks","Risques","Risks; Risques","0","0","26","53","0"
"RiskTaskAssociations","RiskTaskAssociations","AssociationsTâcheRisque","AssociationsTâcheRisque; RiskTaskAssociations","0","0","9","53","0"
"TaskBaselineTimephasedDataSet","TaskBaselineTimephasedDataSet","JeuDonnéesChronologiqueRéférenceTâche","JeuDonnéesChronologiqueRéférenceTâche; TaskBaselineTimephasedDataSet","8","0","13","53","0"
"TaskTimephasedDataSet","TaskTimephasedDataSet","JeuDonnéesChronologiquesTâche","JeuDonnéesChronologiquesTâche; TaskTimephasedDataSet","6","0","17","53","0"
"TimesheetLines","TimesheetLines","LignesFeuilleDeTemps","LignesFeuilleDeTemps; TimesheetLines","0","0","24","53","0"
"CostConstraintScenarios","CostConstraintScenarios","ScénariosContrainteCoût","CostConstraintScenarios; ScénariosContrainteCoût","0","0","11","34","0"
"PortfolioAnalyses","PortfolioAnalyses","AnalysesPortefeuille","AnalysesPortefeuille; PortfolioAnalyses","0","0","12","34","0"
"ResourceConstraintScenarios","ResourceConstraintScenarios","ScénariosContrainteRessource","ResourceConstraintScenarios; ScénariosContrainteRessource","0","0","13","34","0"
"TimesheetLineActualDataSet","TimesheetLineActualDataSet","JeuDonnéesRéellesLigneFeuilleDeTemps","JeuDonnéesRéellesLigneFeuilleDeTemps; TimesheetLineActualDataSet","0","0","10","34","0"
"TimesheetPeriods","TimesheetPeriods","PériodesFeuilleDeTemps","PériodesFeuilleDeTemps; TimesheetPeriods","0","0","6","32","0"
"Timesheets","Timesheets","FeuillesDeTemps","FeuillesDeTemps; Timesheets","0","0","12","26","0"
"ResourceTimephasedDataSet","ResourceTimephasedDataSet","JeuDonnéesChronologiquesRessource","JeuDonnéesChronologiquesRessource; ResourceTimephasedDataSet","4","0","7","14","0"
"BusinessDrivers","BusinessDrivers","AxesStratégiques","AxesStratégiques; BusinessDrivers","0","0","6","6","0"
"Prioritizations","Prioritizations","DéfinitionsDePriorités","DéfinitionsDePriorités; Prioritizations","0","0","8","6","0"
"BusinessDriverDepartments","BusinessDriverDepartments","ServicesAxeStratégiqueEntreprise","BusinessDriverDepartments; ServicesAxeStratégiqueEntreprise","0","0","4","4","0"
"PrioritizationDriverRelations","PrioritizationDriverRelations","RelationsAxeStratégiqueDéfinitionPriorités","PrioritizationDriverRelations; RelationsAxeStratégiqueDéfinitionPriorités","0","0","2","4","0"
"PrioritizationDrivers","PrioritizationDrivers","AxesStratégiquesDéfinitionPriorités","AxesStratégiquesDéfinitionPriorités; PrioritizationDrivers","0","0","4","4","0"
"EngagementsComments","EngagementsComments","CommentairesEngagements","CommentairesEngagements; EngagementsComments","0","0","2","3","0"
