"EntityName_EN","ViewName","Column_EN","TotalRows","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","CandidateRows","ExactRows","HeuristicRows","NoMatchRows"
"AssignmentBaselineTimephasedDataSet","AssignmentBaselineTimephasedDataSet","ResourceId","418035","MAPPED","pjrep","MSP_TimesheetLine_UserView","ResourceUID","14","0","14","0"
"TimesheetClasses","TimesheetClasses","DepartmentName","4","MAPPED","pjrep","MSP_TimesheetClass_UserView","DepartmentName","4","4","0","0"
"Projects","Projects","OptimizerDecisionID","239","MAPPED","pjrep","MSP_EpmProjectDecision_UserView","OptimizerDecisionID","3","3","0","0"
"Projects","Projects","PlannerDecisionID","239","MAPPED","pjrep","MSP_EpmProjectDecision_UserView","PlannerDecisionID","3","3","0","0"
"Projects","Projects","OptimizerCommitDate","239","MAPPED","pjrep","MSP_EpmProjectDecision_UserView","OptimizerCommitDate","2","2","0","0"
"Projects","Projects","OptimizerDecisionAliasLookupTableId","239","MAPPED","pjrep","MSP_EpmProjectDecision_UserView","OptimizerDecisionAliasLookupTableUID","2","0","2","0"
"Projects","Projects","OptimizerDecisionName","239","MAPPED","pjrep","MSP_EpmProjectDecision_UserView","OptimizerDecisionName","2","2","0","0"
"Projects","Projects","OptimizerSolutionName","239","MAPPED","pjrep","MSP_EpmProjectDecision_UserView","OptimizerSolutionName","2","2","0","0"
"Projects","Projects","ParentProjectId","239","MAPPED","pjrep","MSP_EpmProject_UserView","ParentProjectUID","2","0","2","0"
"Projects","Projects","PlannerCommitDate","239","MAPPED","pjrep","MSP_EpmProjectDecision_UserView","PlannerCommitDate","2","2","0","0"
"Projects","Projects","PlannerDecisionAliasLookupTableId","239","MAPPED","pjrep","MSP_EpmProjectDecision_UserView","PlannerDecisionAliasLookupTableUID","2","0","2","0"
"Projects","Projects","PlannerDecisionName","239","MAPPED","pjrep","MSP_EpmProjectDecision_UserView","PlannerDecisionName","2","2","0","0"
"Projects","Projects","PlannerEndDate","239","MAPPED","pjrep","MSP_EpmProjectDecision_UserView","PlannerEndDate","2","2","0","0"
"Projects","Projects","PlannerSolutionName","239","MAPPED","pjrep","MSP_EpmProjectDecision_UserView","PlannerSolutionName","2","2","0","0"
"Projects","Projects","PlannerStartDate","239","MAPPED","pjrep","MSP_EpmProjectDecision_UserView","PlannerStartDate","2","2","0","0"
