"EntityName_EN","ViewName","ViewLanguage","TotalRows","ColumnName","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression"
"AssignmentBaselineTimephasedDataSet","AssignmentBaselineTimephasedDataSet","EN","418035","ResourceId","MAPPED","pjrep","MSP_TimesheetLine_UserView","ResourceUID","j2.[ResourceUID]"
"AssignmentBaselineTimephasedDataSet","JeuDonnéesChronologiquesRéférenceAffectation","FR","418035","IdRessource","MAPPED","pjrep","MSP_TimesheetLine_UserView","ResourceUID","j2.[ResourceUID]"
"Assignments","Affectations","FR","1772","Afficherrapport_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Afficher rapport_T","src.[Afficher rapport_T]"
"Assignments","Affectations","FR","1772","AssignmentAllUpdatesApplied","MAPPED","pjrep","MSP_EpmAssignmentsApplied_UserView","AssignmentAllUpdatesApplied","jAssignApplied.[AssignmentAllUpdatesApplied]"
"Assignments","Affectations","FR","1772","AssignmentUpdatesAppliedDate","MAPPED","pjrep","MSP_EpmAssignmentsApplied_UserView","AssignmentUpdatesAppliedDate","jAssignApplied.[AssignmentUpdatesAppliedDate]"
"Assignments","Affectations","FR","1772","Catdepenses_R","MAPPED","pjrep","MSP_EpmAssignment_UserView","Cat depenses_R","src.[Cat depenses_R]"
"Assignments","Affectations","FR","1772","CodelivrableGID_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Code livrable GID_T","src.[Code livrable GID_T]"
"Assignments","Affectations","FR","1772","Commentaire_GPR_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Commentaire_GPR_T","src.[Commentaire_GPR_T]"
"Assignments","Affectations","FR","1772","DateapprouvéeDGEI_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Date approuvée DGEI_T","src.[Date approuvée DGEI_T]"
"Assignments","Affectations","FR","1772","DatedemandéeDGT_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Date demandée DGT_T","src.[Date demandée DGT_T]"
"Assignments","Affectations","FR","1772","Dateoccupation_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Date occupation_T","src.[Date occupation_T]"
"Assignments","Affectations","FR","1772","DernierPCatteinttache_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Dernier PC atteint tache_T","src.[Dernier PC atteint tache_T]"
"Assignments","Affectations","FR","1772","ÉcartPC0PC1_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Écart PC0-PC1_T","src.[Écart PC0-PC1_T]"
"Assignments","Affectations","FR","1772","ÉcartPC0PC2_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Écart PC0-PC2_T","src.[Écart PC0-PC2_T]"
"Assignments","Affectations","FR","1772","ÉcartPC0PC3_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Écart PC0-PC3_T","src.[Écart PC0-PC3_T]"
"Assignments","Affectations","FR","1772","ÉcartPC0PC4_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Écart PC0-PC4_T","src.[Écart PC0-PC4_T]"
"Assignments","Affectations","FR","1772","ÉcartPC0PC5_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Écart PC0-PC5_T","src.[Écart PC0-PC5_T]"
"Assignments","Affectations","FR","1772","ÉcartPC0PC6_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Écart PC0-PC6_T","src.[Écart PC0-PC6_T]"
"Assignments","Affectations","FR","1772","ÉcartPC0PC7_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Écart PC0-PC7_T","src.[Écart PC0-PC7_T]"
"Assignments","Affectations","FR","1772","NodedossierAGI_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","No de dossier AGI_T","src.[No de dossier AGI_T]"
"Assignments","Affectations","FR","1772","NU_R","MAPPED","pjrep","MSP_EpmAssignment_UserView","NU_R","src.[NU_R]"
"Assignments","Affectations","FR","1772","Numerodelot_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Numero de lot_T","src.[Numero de lot_T]"
"Assignments","Affectations","FR","1772","Prisedepossessionlégale_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Prise de possession légale_T","src.[Prise de possession légale_T]"
"Assignments","Affectations","FR","1772","Servicesderessources_R","MAPPED","pjrep","MSP_EpmAssignment_UserView","Services de ressources_R","src.[Services de ressources_R]"
"Assignments","Affectations","FR","1772","Servicespublics_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Services publics_T","src.[Services publics_T]"
"Assignments","Affectations","FR","1772","Statut_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Statut_T","src.[Statut_T]"
"Assignments","Affectations","FR","1772","Typedecoût_R","MAPPED","pjrep","MSP_EpmAssignment_UserView","Type de coût_R","src.[Type de coût_R]"
"Assignments","Affectations","FR","1772","Typeterrain_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Type terrain_T","src.[Type terrain_T]"
"Assignments","Assignments","EN","1772","Afficherrapport_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Afficher rapport_T","src.[Afficher rapport_T]"
"Assignments","Assignments","EN","1772","AssignmentAllUpdatesApplied","MAPPED","pjrep","MSP_EpmAssignmentsApplied_UserView","AssignmentAllUpdatesApplied","jAssignApplied.[AssignmentAllUpdatesApplied]"
"Assignments","Assignments","EN","1772","AssignmentUpdatesAppliedDate","MAPPED","pjrep","MSP_EpmAssignmentsApplied_UserView","AssignmentUpdatesAppliedDate","jAssignApplied.[AssignmentUpdatesAppliedDate]"
"Assignments","Assignments","EN","1772","Catdepenses_R","MAPPED","pjrep","MSP_EpmAssignment_UserView","Cat depenses_R","src.[Cat depenses_R]"
"Assignments","Assignments","EN","1772","CodelivrableGID_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Code livrable GID_T","src.[Code livrable GID_T]"
"Assignments","Assignments","EN","1772","Commentaire_GPR_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Commentaire_GPR_T","src.[Commentaire_GPR_T]"
"Assignments","Assignments","EN","1772","DateapprouvéeDGEI_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Date approuvée DGEI_T","src.[Date approuvée DGEI_T]"
"Assignments","Assignments","EN","1772","DatedemandéeDGT_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Date demandée DGT_T","src.[Date demandée DGT_T]"
"Assignments","Assignments","EN","1772","Dateoccupation_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Date occupation_T","src.[Date occupation_T]"
"Assignments","Assignments","EN","1772","DernierPCatteinttache_T","MAPPED","pjrep","MSP_EpmAssignment_UserView","Dernier PC atteint tache_T","src.[Dernier PC atteint tache_T]"
