SourceSystem,EntityName,FieldName,LogicalType,TypeName,IsNullable
ProjectData,Affectations,AffectationCoût,decimal,Decimal.Type,VRAI
ProjectData,Affectations,AffectationCoûtRestant,decimal,Decimal.Type,FAUX
ProjectData,Affectations,AffectationDateDébut,date,DateTime.Type,VRAI
ProjectData,Affectations,AffectationDateDébutRéelle,date,DateTime.Type,VRAI
ProjectData,Affectations,AffectationDateFin,date,DateTime.Type,VRAI
ProjectData,Affectations,AffectationDateFinRéelle,date,DateTime.Type,VRAI
ProjectData,Affectations,AffectationDateModification,date,DateTime.Type,FAUX
ProjectData,Affectations,AffectationEstPubliée,bool,Logical.Type,FAUX
ProjectData,Affectations,AffectationEstSurutilisée,bool,Logical.Type,FAUX
ProjectData,Affectations,AffectationPourcentageTravailEffectué,int,Int16.Type,VRAI
ProjectData,Affectations,AffectationRessourcePlanTravail,decimal,Decimal.Type,FAUX
ProjectData,Affectations,AffectationTravail,decimal,Decimal.Type,VRAI
ProjectData,Affectations,AffectationTravailRestant,decimal,Decimal.Type,FAUX
ProjectData,Affectations,AffectationTravailRéel,decimal,Decimal.Type,VRAI
ProjectData,Affectations,AffectationType,int,Int32.Type,FAUX
ProjectData,Affectations,AffectationTypeRessource,int,Int16.Type,VRAI
ProjectData,Affectations,Afficherrapport_T,string,Text.Type,VRAI
ProjectData,Affectations,AssignmentAllUpdatesApplied,bool,Logical.Type,VRAI
ProjectData,Affectations,AssignmentUpdatesAppliedDate,date,DateTime.Type,VRAI
ProjectData,Affectations,CRTEAffectation,decimal,Decimal.Type,VRAI
ProjectData,Affectations,Catdepenses_R,string,Text.Type,VRAI
ProjectData,Affectations,CodelivrableGID_T,string,Text.Type,VRAI
ProjectData,Affectations,Commentaire_GPR_T,string,Text.Type,VRAI
ProjectData,Affectations,CompteurRévisionsCrééAffectation,int,Int32.Type,FAUX
ProjectData,Affectations,CompteurRévisionsModifiéAffectation,int,Int32.Type,FAUX
ProjectData,Affectations,Corpsemploi_R,string,Text.Type,VRAI
ProjectData,Affectations,CoûtBudgétaireAffectation,decimal,Decimal.Type,FAUX
ProjectData,Affectations,CoûtHeuresSupplémentairesAffectation,decimal,Decimal.Type,VRAI
ProjectData,Affectations,CoûtHeuresSupplémentairesRestantes,decimal,Decimal.Type,FAUX
ProjectData,Affectations,CoûtHeuresSupplémentairesRéellesAffectation,decimal,Decimal.Type,VRAI
ProjectData,Affectations,CoûtNormalAffectation,decimal,Decimal.Type,FAUX
ProjectData,Affectations,CoûtNormalRestantAffectation,decimal,Decimal.Type,FAUX
ProjectData,Affectations,CoûtNormalRéelAffectation,decimal,Decimal.Type,FAUX
ProjectData,Affectations,CoûtRéelAffectation,decimal,Decimal.Type,VRAI
ProjectData,Affectations,DateCréationAffectation,date,DateTime.Type,FAUX
ProjectData,Affectations,DateapprouvéeDGEI_T,date,DateTime.Type,VRAI
ProjectData,Affectations,DatedemandéeDGT_T,date,DateTime.Type,VRAI
ProjectData,Affectations,Dateoccupation_T,date,DateTime.Type,VRAI
ProjectData,Affectations,DernierPCatteinttache_T,decimal,Decimal.Type,VRAI
ProjectData,Affectations,DescriptionRéservationAffectation,string,Text.Type,VRAI
ProjectData,Affectations,DescriptionType,string,Text.Type,VRAI
ProjectData,Affectations,DonnéesChronologiques,other,Table.Type,FAUX
ProjectData,Affectations,DébutRéférenceFinRéférence,other,Table.Type,FAUX
ProjectData,Affectations,EDAffectation,decimal,Decimal.Type,VRAI
ProjectData,Affectations,EstPublic,bool,Logical.Type,FAUX
ProjectData,Affectations,HeuresSupplémentairesAffectation,decimal,Decimal.Type,VRAI
ProjectData,Affectations,HeuresSupplémentairesRestantesAffectation,decimal,Decimal.Type,FAUX
ProjectData,Affectations,HeuresSupplémentairesRéellesAffectation,decimal,Decimal.Type,VRAI
ProjectData,Affectations,IdAffectation,string,Text.Type,FAUX
ProjectData,Affectations,IdClasseFeuilleDeTemps,string,Text.Type,VRAI
ProjectData,Affectations,IdProjet,string,Text.Type,FAUX
ProjectData,Affectations,IdRessource,string,Text.Type,FAUX
ProjectData,Affectations,IdRéservationAffectation,int,Int32.Type,FAUX
ProjectData,Affectations,IdTâche,string,Text.Type,FAUX
ProjectData,Affectations,Indicateurtypetâche_T,string,Text.Type,VRAI
ProjectData,Affectations,Lots_T,bool,Logical.Type,VRAI
ProjectData,Affectations,NU_R,string,Text.Type,VRAI
ProjectData,Affectations,NodedossierAGI_T,string,Text.Type,VRAI
ProjectData,Affectations,Nodedossier_T,string,Text.Type,VRAI
ProjectData,Affectations,NomProjet,string,Text.Type,VRAI
ProjectData,Affectations,NomRessource,string,Text.Type,VRAI
ProjectData,Affectations,NomRéservationAffectation,string,Text.Type,VRAI
ProjectData,Affectations,NomType,string,Text.Type,VRAI
ProjectData,Affectations,NomTâche,string,Text.Type,VRAI
ProjectData,Affectations,Numerodelot_T,string,Text.Type,VRAI
ProjectData,Affectations,Prisedepossessionlégale_T,date,DateTime.Type,VRAI
ProjectData,Affectations,Projet,other,Record.Type,VRAI
ProjectData,Affectations,RBS_R,string,Text.Type,VRAI
ProjectData,Affectations,Ressource,other,Record.Type,VRAI
ProjectData,Affectations,RetardAffectation,decimal,Decimal.Type,VRAI
ProjectData,Affectations,Sante_T,string,Text.Type,VRAI
ProjectData,Affectations,Servicesderessources_R,string,Text.Type,VRAI
ProjectData,Affectations,Servicespublics_T,string,Text.Type,VRAI
ProjectData,Affectations,Statut_T,string,Text.Type,VRAI
ProjectData,Affectations,TravailBudgétaireAffectation,decimal,Decimal.Type,FAUX
ProjectData,Affectations,TravailMatériauAffectation,decimal,Decimal.Type,VRAI
ProjectData,Affectations,TravailMatériauBudgétaireAffectation,decimal,Decimal.Type,FAUX
ProjectData,Affectations,TravailNormalAffectation,decimal,Decimal.Type,FAUX
ProjectData,Affectations,TravailNormalRestantAffectation,decimal,Decimal.Type,FAUX
ProjectData,Affectations,TravailNormalRéelAffectation,decimal,Decimal.Type,FAUX
ProjectData,Affectations,TravailRéelMatériauAffectation,decimal,Decimal.Type,VRAI
ProjectData,Affectations,Typedecoût_R,string,Text.Type,VRAI
ProjectData,Affectations,Typeterrain_T,string,Text.Type,VRAI
ProjectData,Affectations,Tâche,other,Record.Type,VRAI
ProjectData,Affectations,TâcheEstActive,bool,Logical.Type,FAUX
ProjectData,Affectations,UA_R,string,Text.Type,VRAI
ProjectData,Affectations,UnitésPicAffectation,decimal,Decimal.Type,VRAI
ProjectData,Affectations,VAAAffectation,decimal,Decimal.Type,VRAI
ProjectData,Affectations,VAAffectation,decimal,Decimal.Type,VRAI
ProjectData,Affectations,VCAffectation,decimal,Decimal.Type,VRAI
ProjectData,Affectations,VPAffectation,decimal,Decimal.Type,VRAI
ProjectData,Affectations,VarianceCoûtAffectation,decimal,Decimal.Type,VRAI
ProjectData,Affectations,VarianceDébutAffectation,decimal,Decimal.Type,VRAI
ProjectData,Affectations,VarianceFinAffectation,decimal,Decimal.Type,VRAI
ProjectData,Affectations,VarianceTravailAffectation,decimal,Decimal.Type,VRAI
ProjectData,Affectations,WBSGPR_T,string,Text.Type,VRAI
ProjectData,Affectations,ÉcartPC0PC1_T,decimal,Decimal.Type,VRAI
ProjectData,Affectations,ÉcartPC0PC2_T,decimal,Decimal.Type,VRAI
ProjectData,Affectations,ÉcartPC0PC3_T,decimal,Decimal.Type,VRAI
ProjectData,Affectations,ÉcartPC0PC4_T,decimal,Decimal.Type,VRAI
ProjectData,Affectations,ÉcartPC0PC5_T,decimal,Decimal.Type,VRAI
ProjectData,Affectations,ÉcartPC0PC6_T,decimal,Decimal.Type,VRAI
ProjectData,Affectations,ÉcartPC0PC7_T,decimal,Decimal.Type,VRAI
ProjectData,Affectations,Étatdel’indicateur_T,bool,Logical.Type,VRAI
ProjectData,AnalysesPortefeuille,DateCréation,date,DateTime.Type,FAUX
ProjectData,AnalysesPortefeuille,DateDébutHorizonPlanification,date,DateTime.Type,VRAI
ProjectData,AnalysesPortefeuille,DateFinHorizonPlanification,date,DateTime.Type,VRAI
ProjectData,AnalysesPortefeuille,DateModification,date,DateTime.Type,FAUX
ProjectData,AnalysesPortefeuille,DescriptionAnalyse,string,Text.Type,VRAI
ProjectData,AnalysesPortefeuille,DéfinitionDePriorités,other,Record.Type,VRAI
ProjectData,AnalysesPortefeuille,FiltrerRessourcesParRBS,bool,Logical.Type,VRAI
ProjectData,AnalysesPortefeuille,FiltrerRessourcesParService,bool,Logical.Type,VRAI
ProjectData,AnalysesPortefeuille,IdAnalyse,string,Text.Type,FAUX
ProjectData,AnalysesPortefeuille,IdChampPersonnaliséAutreDateDébutProjet,string,Text.Type,VRAI
ProjectData,AnalysesPortefeuille,IdChampPersonnaliséAutreDateFinProjet,string,Text.Type,VRAI
ProjectData,AnalysesPortefeuille,IdChampPersonnaliséContrainteImpérative,string,Text.Type,FAUX
ProjectData,AnalysesPortefeuille,IdChampPersonnaliséRôle,string,Text.Type,VRAI
ProjectData,AnalysesPortefeuille,IdDéfinitionPriorités,string,Text.Type,VRAI
ProjectData,AnalysesPortefeuille,IdRessourceCréation,string,Text.Type,VRAI
ProjectData,AnalysesPortefeuille,IdRessourceModification,string,Text.Type,VRAI
