LookupTableId,LookupTableName,EntryId,EntryCode,EntryLabel,ParentEntryId,EntityType,CustomFieldId,CustomFieldName,FieldType,SourceSystem
5a40f04b-5530-4462-914f-20eaf0afda15,Axe,cd727076-4bb5-463e-91a0-76998a277d4e,A,A,,,,,,ProjectServer
5a40f04b-5530-4462-914f-20eaf0afda15,Axe,bda98753-27dd-4646-89f2-c3e4d29ddd93,B,B,,,,,,ProjectServer
5a40f04b-5530-4462-914f-20eaf0afda15,Axe,6881d6a3-6204-4c6f-a7ea-9daf7fe282ee,C,C,,,,,,ProjectServer
5a40f04b-5530-4462-914f-20eaf0afda15,Axe,74e0fa73-b1fb-4759-a56a-4c2c3b5f9ccb,D,D,,,,,,ProjectServer
5a40f04b-5530-4462-914f-20eaf0afda15,Axe,c536f010-0acb-4b6d-92fb-438e2252d245,E,E,,,,,,ProjectServer
5a40f04b-5530-4462-914f-20eaf0afda15,Axe,7662fcc8-c058-47b0-968d-bbb2244f7854,F,F,,,,,,ProjectServer
5a40f04b-5530-4462-914f-20eaf0afda15,Axe,d3c204d7-0f19-4708-95db-afd4653c264e,G,G,,,,,,ProjectServer
5a40f04b-5530-4462-914f-20eaf0afda15,Axe,e81cdd77-6d19-43b1-80f8-17aab06dbdf3,H,H,,,,,,ProjectServer
5a40f04b-5530-4462-914f-20eaf0afda15,Axe,ab7404f2-43bb-4e23-9a65-824305955457,I,I,,,,,,ProjectServer
5a40f04b-5530-4462-914f-20eaf0afda15,Axe,715bccea-38d5-4cd9-a2a7-f48c91e90429,K,K,,,,,,ProjectServer
5a40f04b-5530-4462-914f-20eaf0afda15,Axe,c08ec32a-f7e7-444c-aac0-d502902f40c2,L,L,,,,,,ProjectServer
5a40f04b-5530-4462-914f-20eaf0afda15,Axe,8b842a0d-174d-436b-aefa-4304f21f3aad,M,M,,,,,,ProjectServer
5a40f04b-5530-4462-914f-20eaf0afda15,Axe,2d61bcbd-915d-47eb-ab7c-02435c6c9035,MU,MU,,,,,,ProjectServer
5a40f04b-5530-4462-914f-20eaf0afda15,Axe,705d1625-3e48-4db6-a6f8-818033cd8de4,N,N,,,,,,ProjectServer
5a40f04b-5530-4462-914f-20eaf0afda15,Axe,8a10db37-be55-46f5-8653-b8eb48e0641e,SO,SO,,,,,,ProjectServer
b45f3fc1-b771-ee11-8236-00155d79050c,Categorie Depense,b65f3fc1-b771-ee11-8236-00155d79050c,Accompagnement,Accompagnement,,,,,,ProjectServer
b45f3fc1-b771-ee11-8236-00155d79050c,Categorie Depense,b75f3fc1-b771-ee11-8236-00155d79050c,Acquisition,Acquisition,,,,,,ProjectServer
b45f3fc1-b771-ee11-8236-00155d79050c,Categorie Depense,b85f3fc1-b771-ee11-8236-00155d79050c,Archéologie,Archéologie,,,,,,ProjectServer
b45f3fc1-b771-ee11-8236-00155d79050c,Categorie Depense,b95f3fc1-b771-ee11-8236-00155d79050c,Arpentage,Arpentage,,,,,,ProjectServer
b45f3fc1-b771-ee11-8236-00155d79050c,Categorie Depense,ba5f3fc1-b771-ee11-8236-00155d79050c,Assurance qualité,Assurance qualité,,,,,,ProjectServer
b45f3fc1-b771-ee11-8236-00155d79050c,Categorie Depense,bb5f3fc1-b771-ee11-8236-00155d79050c,Conception,Conception,,,,,,ProjectServer
b45f3fc1-b771-ee11-8236-00155d79050c,Categorie Depense,bc5f3fc1-b771-ee11-8236-00155d79050c,Contingence,Contingence,,,,,,ProjectServer
b45f3fc1-b771-ee11-8236-00155d79050c,Categorie Depense,bd5f3fc1-b771-ee11-8236-00155d79050c,Environnement,Environnement,,,,,,ProjectServer
b45f3fc1-b771-ee11-8236-00155d79050c,Categorie Depense,be5f3fc1-b771-ee11-8236-00155d79050c,Frais de financement,Frais de financement,,,,,,ProjectServer
b45f3fc1-b771-ee11-8236-00155d79050c,Categorie Depense,bf5f3fc1-b771-ee11-8236-00155d79050c,Frais généraux,Frais généraux,,,,,,ProjectServer
b45f3fc1-b771-ee11-8236-00155d79050c,Categorie Depense,c05f3fc1-b771-ee11-8236-00155d79050c,Géotechnique,Géotechnique,,,,,,ProjectServer
b45f3fc1-b771-ee11-8236-00155d79050c,Categorie Depense,c15f3fc1-b771-ee11-8236-00155d79050c,Inflation,Inflation,,,,,,ProjectServer
b45f3fc1-b771-ee11-8236-00155d79050c,Categorie Depense,c25f3fc1-b771-ee11-8236-00155d79050c,Inspection OA,Inspection OA,,,,,,ProjectServer
b45f3fc1-b771-ee11-8236-00155d79050c,Categorie Depense,c35f3fc1-b771-ee11-8236-00155d79050c,Plans et devis,Plans et devis,,,,,,ProjectServer
