Endpoint_EN,Endpoint_FR,EndpointMatchCountRaw,EndPointMatchStatus,PrimitiveColumnCount_ENRaw,PrimitiveColumnCount_FRRaw,ColumnPositionRaw,Column_EN,Column_FR,ColumnClassification,Kind_EN,TypeName_EN,IsNullable_ENRaw,Kind_FR,TypeName_FR,IsNullable_FRRaw,PositionMatchRaw,TypeMatchRaw,NullabilityMatchRaw,ColumnMatchStatus
AssignmentBaselines,PlanningsRéférenceAffectation,1,AUTO_MATCH,16,16,0,ProjectId,IdProjet,PRIMITIVE,text,Text.Type,FALSE,text,Text.Type,FALSE,TRUE,TRUE,TRUE,STRONG_MATCH
AssignmentBaselines,PlanningsRéférenceAffectation,1,AUTO_MATCH,16,16,1,AssignmentId,IdAffectation,PRIMITIVE,text,Text.Type,FALSE,text,Text.Type,FALSE,TRUE,TRUE,TRUE,STRONG_MATCH
AssignmentBaselines,PlanningsRéférenceAffectation,1,AUTO_MATCH,16,16,2,BaselineNumber,NuméroPlanningDeRéférence,PRIMITIVE,number,Int32.Type,FALSE,number,Int32.Type,FALSE,TRUE,TRUE,TRUE,STRONG_MATCH
AssignmentBaselines,PlanningsRéférenceAffectation,1,AUTO_MATCH,16,16,3,AssignmentBaselineBudgetCost,CoûtBudgétaireRéférenceAffectation,PRIMITIVE,number,Decimal.Type,FALSE,number,Decimal.Type,FALSE,TRUE,TRUE,TRUE,STRONG_MATCH
AssignmentBaselines,PlanningsRéférenceAffectation,1,AUTO_MATCH,16,16,4,AssignmentBaselineBudgetMaterialWork,TravailMatériauBudgétaireRéférenceAffectation,PRIMITIVE,number,Decimal.Type,FALSE,number,Decimal.Type,FALSE,TRUE,TRUE,TRUE,STRONG_MATCH
AssignmentBaselines,PlanningsRéférenceAffectation,1,AUTO_MATCH,16,16,5,AssignmentBaselineBudgetWork,TravailBudgétaireRéférenceAffectation,PRIMITIVE,number,Decimal.Type,FALSE,number,Decimal.Type,FALSE,TRUE,TRUE,TRUE,STRONG_MATCH
AssignmentBaselines,PlanningsRéférenceAffectation,1,AUTO_MATCH,16,16,6,AssignmentBaselineCost,CoûtRéférenceAffectation,PRIMITIVE,number,Decimal.Type,FALSE,number,Decimal.Type,FALSE,TRUE,TRUE,TRUE,STRONG_MATCH
AssignmentBaselines,PlanningsRéférenceAffectation,1,AUTO_MATCH,16,16,7,AssignmentBaselineFinishDate,DateFinRéférenceAffectation,PRIMITIVE,datetime,DateTime.Type,TRUE,datetime,DateTime.Type,TRUE,TRUE,TRUE,TRUE,STRONG_MATCH
AssignmentBaselines,PlanningsRéférenceAffectation,1,AUTO_MATCH,16,16,8,AssignmentBaselineMaterialWork,TravailMatériauRéférenceAffectation,PRIMITIVE,number,Decimal.Type,FALSE,number,Decimal.Type,FALSE,TRUE,TRUE,TRUE,STRONG_MATCH
AssignmentBaselines,PlanningsRéférenceAffectation,1,AUTO_MATCH,16,16,9,AssignmentBaselineModifiedDate,AssignmentBaselineModifiedDate,PRIMITIVE,datetime,DateTime.Type,FALSE,datetime,DateTime.Type,FALSE,TRUE,TRUE,TRUE,STRONG_MATCH
AssignmentBaselines,PlanningsRéférenceAffectation,1,AUTO_MATCH,16,16,10,AssignmentBaselineStartDate,DateDébutRéférenceAffectation,PRIMITIVE,datetime,DateTime.Type,TRUE,datetime,DateTime.Type,TRUE,TRUE,TRUE,TRUE,STRONG_MATCH
AssignmentBaselines,PlanningsRéférenceAffectation,1,AUTO_MATCH,16,16,11,AssignmentBaselineWork,TravailRéférenceAffectation,PRIMITIVE,number,Decimal.Type,FALSE,number,Decimal.Type,FALSE,TRUE,TRUE,TRUE,STRONG_MATCH
AssignmentBaselines,PlanningsRéférenceAffectation,1,AUTO_MATCH,16,16,12,AssignmentType,AffectationType,PRIMITIVE,number,Int32.Type,FALSE,number,Int32.Type,FALSE,TRUE,TRUE,TRUE,STRONG_MATCH
AssignmentBaselines,PlanningsRéférenceAffectation,1,AUTO_MATCH,16,16,13,ProjectName,NomProjet,PRIMITIVE,text,Text.Type,TRUE,text,Text.Type,TRUE,TRUE,TRUE,TRUE,STRONG_MATCH
AssignmentBaselines,PlanningsRéférenceAffectation,1,AUTO_MATCH,16,16,14,TaskId,IdTâche,PRIMITIVE,text,Text.Type,FALSE,text,Text.Type,FALSE,TRUE,TRUE,TRUE,STRONG_MATCH
AssignmentBaselines,PlanningsRéférenceAffectation,1,AUTO_MATCH,16,16,15,TaskName,NomTâche,PRIMITIVE,text,Text.Type,TRUE,text,Text.Type,TRUE,TRUE,TRUE,TRUE,STRONG_MATCH
AssignmentBaselines,PlanningsRéférenceAffectation,1,AUTO_MATCH,16,16,16,Assignment,Affectation,NAVIGATION,record,Record.Type,TRUE,record,Record.Type,TRUE,TRUE,TRUE,TRUE,STRONG_MATCH
AssignmentBaselines,PlanningsRéférenceAffectation,1,AUTO_MATCH,16,16,17,AssignmentBaselineTimephasedDataSet,JeuDonnéesChronologiquesRéférenceAffectation,NAVIGATION,table,Table.Type,FALSE,table,Table.Type,FALSE,TRUE,TRUE,TRUE,STRONG_MATCH
AssignmentBaselines,PlanningsRéférenceAffectation,1,AUTO_MATCH,16,16,18,Project,Projet,NAVIGATION,record,Record.Type,TRUE,record,Record.Type,TRUE,TRUE,TRUE,TRUE,STRONG_MATCH
